Country Code,Country Name,Gender,Date,Unemployement Rate
AUS,Australia,ALL,7/1/2011,5.09
AUS,Australia,ALL,8/1/2011,5.27
AUS,Australia,ALL,9/1/2011,5.22
AUS,Australia,ALL,10/1/2011,5.19
AUS,Australia,ALL,11/1/2011,5.23
AUS,Australia,ALL,12/1/2011,5.2
AUS,Australia,ALL,1/1/2012,5.05
AUS,Australia,ALL,2/1/2012,5.2
AUS,Australia,ALL,3/1/2012,5.19
AUS,Australia,ALL,4/1/2012,5
AUS,Australia,ALL,5/1/2012,5.2
AUS,Australia,ALL,6/1/2012,5.16
AUS,Australia,ALL,7/1/2012,5.18
AUS,Australia,ALL,8/1/2012,5.15
AUS,Australia,ALL,9/1/2012,5.48
AUS,Australia,ALL,10/1/2012,5.41
AUS,Australia,ALL,11/1/2012,5.26
AUS,Australia,ALL,12/1/2012,5.44
AUS,Australia,ALL,1/1/2013,5.39
AUS,Australia,ALL,2/1/2013,5.41
AUS,Australia,ALL,3/1/2013,5.64
AUS,Australia,ALL,4/1/2013,5.59
AUS,Australia,ALL,5/1/2013,5.61
AUS,Australia,ALL,6/1/2013,5.69
AUS,Australia,ALL,7/1/2013,5.63
AUS,Australia,ALL,8/1/2013,5.84
AUS,Australia,ALL,9/1/2013,5.7
AUS,Australia,ALL,10/1/2013,5.83
AUS,Australia,ALL,11/1/2013,5.8
AUS,Australia,ALL,12/1/2013,5.9
AUS,Australia,ALL,1/1/2014,5.94
AUS,Australia,ALL,2/1/2014,5.9
AUS,Australia,ALL,3/1/2014,5.88
AUS,Australia,ALL,4/1/2014,5.81
AUS,Australia,ALL,5/1/2014,5.93
AUS,Australia,ALL,6/1/2014,6.04
AUS,Australia,ALL,7/1/2014,6.16
AUS,Australia,ALL,8/1/2014,6.09
AUS,Australia,ALL,9/1/2014,6.22
AUS,Australia,ALL,10/1/2014,6.36
AUS,Australia,ALL,11/1/2014,6.3
AUS,Australia,ALL,12/1/2014,6.11
AUS,Australia,ALL,1/1/2015,6.35
AUS,Australia,ALL,2/1/2015,6.17
AUS,Australia,ALL,3/1/2015,6.11
AUS,Australia,ALL,4/1/2015,6.12
AUS,Australia,ALL,5/1/2015,5.93
AUS,Australia,ALL,6/1/2015,5.99
AUS,Australia,ALL,7/1/2015,6.26
AUS,Australia,ALL,8/1/2015,6.07
AUS,Australia,ALL,9/1/2015,6.15
AUS,Australia,ALL,10/1/2015,5.91
AUS,Australia,ALL,11/1/2015,5.85
AUS,Australia,ALL,12/1/2015,5.75
AUS,Australia,ALL,1/1/2016,6.04
AUS,Australia,ALL,2/1/2016,5.72
AUS,Australia,ALL,3/1/2016,5.67
AUS,Australia,ALL,4/1/2016,5.66
AUS,Australia,ALL,5/1/2016,5.72
AUS,Australia,ALL,6/1/2016,5.67
AUS,Australia,ALL,7/1/2016,5.67
AUS,Australia,ALL,8/1/2016,5.59
AUS,Australia,ALL,9/1/2016,5.62
AUS,Australia,ALL,10/1/2016,5.57
AUS,Australia,ALL,11/1/2016,5.76
AUS,Australia,ALL,12/1/2016,5.83
